4603	1 04603U 70025F   14365.84753172  .00001153  00000-0  11816-2 0   285\	2 04603 099.6318 337.4328 0021175 095.4542 323.6803 13.78523510214788
4597	1 04597U 70089B   14365.78798312  .00000105  00000-0  70714-4 0  1679\	2 04597 062.9374 006.1603 0994497 048.3459 359.5339 12.94459979218118
3591	1 03591U 66041E   14365.83366397  .00000208  00000-0  12508-3 0  2418\	2 03591 090.1386 001.7917 0076387 033.7020 049.9358 14.02411841481106
4645	1 04645U 70025AD  14365.82902071  .00000026  00000-0  19856-3 0  2679\	2 04645 099.9348 097.8785 0330212 118.6114 005.4616 12.85806733 97887
30079	1 30079U 99025QG  14365.89078372  .00000124  00000-0  11451-3 0  3678\	2 30079 099.1917 332.5633 0082700 097.9998 316.2364 13.98246779406281
4667	1 04667U 70089K   14365.81854609  .00003527  00000-0  93171-3 0   281\	2 04667 062.9320 301.3099 0760348 070.8530 323.7736 13.47638302122545
4679	1 04679U 70025BC  14365.78283980  .00000276  00000-0  39614-3 0  7274\	2 04679 100.0763 291.5483 0017682 294.2740 120.4128 13.65583313218961
4689	1 04689U 70025BN  14365.67758588  .00000251  00000-0  42561-3 0  1502\	2 04689 099.7442 266.9353 0071088 098.8978 326.2283 13.54285044204032
4715	1 04715U 70025BZ  14365.74564847  .00000224  00000-0  24688-3 0  9680\	2 04715 099.3898 078.5672 0036978 067.9696 055.4270 13.82412807235982
4745	1 04745U 70025CU  14365.73291022  .00001176  00000-0  10100-2 0  6120\	2 04745 100.0699 273.8306 0027509 211.4616 203.2485 13.88966336239292
33974	1 33974U 93036FH  14365.84717317  .00065321  00000-0  38477-2 0  6270\	2 33974 073.9547 164.4361 0032815 295.2800 193.4553 15.10818243314633
34265	1 34265U 09010B   14365.62262669  .00000093  00000-0  00000+0 0  8651\	2 34265 003.9613 078.8580 0002568 143.8127 327.2203 01.00000986 21317
4773	1 04773U 70025DT  14365.81113624  .00000501  00000-0  79629-3 0  6472\	2 04773 099.8726 290.9449 0030637 181.8529 243.3402 13.54546169201492
4790	1 04790U 70103C   14365.79287639 -.00000046  00000-0 -33609-3 0  6242\	2 04790 051.5819 165.8172 1788686 051.9015 041.1876 09.05047710457451
4864	1 04864U 70025EU  14365.75844728  .00000151  00000-0  30962-3 0  9361\	2 04864 099.5422 284.4360 0046924 138.9660 276.3529 13.48286872197178
4928	1 04928U 70025FU  14365.88059044  .00000134  00000-0  57586-3 0  4036\	2 04928 099.7416 110.7661 0433650 015.1734 098.7386 12.70976276 67220
26695	1 26695U 01005B   14365.92886152 -.00000257  00000-0  10000-3 0  2705\	2 26695 007.7074 043.5856 0003342 219.6880 137.3365 01.00269824 50917
4979	1 04979U 70025GZ  14365.71059259  .00000122  00000-0  23089-3 0  3365\	2 04979 100.0088 077.2970 0013213 107.5232 048.9750 13.58754084213420
4987	1 04987U 70025HH  14365.76845044  .00000051  00000-0  14891-3 0  8585\	2 04987 099.5873 078.5759 0039857 118.9920 003.1245 13.48463603199219
4991	1 04991U 70025HM  14365.74183196  .00000001  00000-0  70401-4 0  3569\	2 04991 100.0694 067.8686 0020064 322.4550 158.0796 13.53286922208545
38742	1 38742U 12043C   14365.55951248  .00010539  00000-0  21399-2 0  5486\	2 38742 005.7621 085.3755 7234965 189.0249 141.7446 02.34747797 20356
