mmsi,dt,status,vesseltype,sog_mean,sog_min,sog_max,sog_std,count,length,width,draft,vessel,autoencode_loss
368219000,2016-01-27 12:00:00,moored,1004,0.0,0.0,0.0,0.0,20,59.44000000000003,12.650000000000004,5.5,cargo,0.17314329743385315
368219000,2016-01-27 13:00:00,moored,1004,0.0,0.0,0.0,0.0,19,59.44000000000003,12.650000000000004,5.5,cargo,0.17961053550243378
368219000,2016-01-27 14:00:00,moored,1004,0.0,0.0,0.0,0.0,20,59.44000000000003,12.650000000000004,5.5,cargo,0.17365705966949463
368219000,2016-01-27 15:00:00,moored,1004,0.0,0.0,0.0,0.0,20,59.44000000000003,12.650000000000004,5.5,cargo,0.15952417254447937
368251000,2015-01-20 04:00:00,under way using engine,1001,0.06730769230769232,0.0,0.4,0.12943490126375642,52,84.72999999999999,18.899999999999984,4.669999999999995,fishing,0.1641799807548523
368251000,2015-01-20 05:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,53,84.72999999999998,18.899999999999984,4.669999999999995,fishing,0.22666911780834198
368251000,2015-01-20 06:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,84.72999999999999,18.899999999999984,4.669999999999995,fishing,0.2762536406517029
368251000,2015-01-20 07:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,84.72999999999999,18.899999999999984,4.669999999999995,fishing,0.2908586263656616
368251000,2015-01-20 08:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,84.72999999999999,18.899999999999984,4.669999999999995,fishing,0.2460910826921463
368251000,2015-01-20 09:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,84.72999999999999,18.899999999999984,4.669999999999995,fishing,0.1637732833623886
368251000,2017-01-12 16:00:00,under way using engine,1001,12.339215686274509,8.2,13.1,0.7214092961343228,51,84.72999999999999,18.899999999999984,4.699999999999996,fishing,0.15346664190292358
368251000,2017-01-12 17:00:00,under way using engine,1001,11.953846153846147,10.1,12.4,0.37805567515159616,52,84.72999999999999,18.899999999999984,4.699999999999996,fishing,0.1558195799589157
368251000,2017-01-20 00:00:00,under way using engine,1001,1.4188679245282996,0.0,7.8,2.603625918700361,53,84.72999999999998,18.899999999999984,4.699999999999996,fishing,0.17023782432079315
368251000,2017-01-20 01:00:00,under way using engine,1001,0.06862745098039219,0.0,0.1,0.04686233489032048,51,84.72999999999999,18.899999999999984,4.699999999999996,fishing,0.18460428714752197
368251000,2017-01-20 02:00:00,under way using engine,1001,0.04230769230769232,0.0,0.1,0.04988674957145865,52,84.72999999999999,18.899999999999984,4.699999999999996,fishing,0.1789386123418808
368251000,2017-01-20 03:00:00,under way using engine,1001,0.06346153846153849,0.0,0.2,0.05250152622934172,52,84.72999999999999,18.899999999999984,4.699999999999996,fishing,0.1511334329843521
368251000,2017-01-27 16:00:00,under way using engine,1001,0.16923076923076918,0.0,0.4,0.10007538636577641,52,84.72999999999999,18.899999999999984,4.699999999999996,fishing,0.16250480711460114
368251000,2017-01-27 17:00:00,under way using engine,1001,0.17843137254901956,0.0,0.6,0.1418643372947494,51,84.72999999999999,18.899999999999984,4.699999999999996,fishing,0.17391330003738403
368251000,2017-01-27 18:00:00,under way using engine,1001,0.2333333333333333,0.0,0.6,0.15705625319186325,51,84.72999999999999,18.899999999999984,4.699999999999996,fishing,0.16559256613254547
